Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
31581,0d1ujEcFwTqA4kWliTSJim,Alan Walker;Georgia Ku,Don't You Hold Me Down,Don't You Hold Me Down,66,132597,False,0.773,0.839,5,-4.046,1,0.0566,0.0276,0.00797,0.132,0.303,123.975,4,electro
95009,7IFONpsIyEPr43Lio8beUv,Frankie Ruiz,Ritmo Bonito,Tú Con Él,0,302093,False,0.823,0.779,7,-5.943,1,0.0492,0.201,0.00019,0.175,0.96,95.484,4,salsa
86246,5I8DslpztOwOpwERbGGDTC,Camisa de Vênus,Batalhões de Estranhos,Eu Não Matei Joana d'Arc,47,225533,False,0.399,0.75,2,-11.185,1,0.118,0.00481,0.000483,0.0748,0.745,197.679,4,punk
79861,4EuLUeWUGHK3BVJGBcpQah,Lilly Eaton,Back home,The lighthouse,49,172500,False,0.553,0.051,0,-29.617,1,0.05,0.98,0.915,0.108,0.717,118.668,3,piano
68198,6TFUGAC1zk57FICwy1wZNW,Daddy Yankee;Natti Natasha;Becky G;Bad Bunny,Homecoming Latin Party,Dura - Remix,0,242160,False,0.772,0.803,1,-3.035,1,0.0468,0.187,0.0,0.434,0.853,94.98,4,latino
88385,6XWeO4YfQxSC48NoGkbPay,Don Omar;Zion & Lennox,Perreo Tenebroso Vol. 3,Te Quiero Pa´Mi,0,212026,False,0.765,0.816,1,-3.99,1,0.0595,0.124,8.19e-05,0.197,0.624,89.005,4,reggae
85802,5r5Lj2MkgwQJz6TaBdL865,Cage The Elephant,Melophobia,Spiderhead,63,222813,False,0.543,0.946,2,-0.734,1,0.0454,0.00614,1.49e-05,0.106,0.547,117.962,4,punk-rock
67193,7lTWdUAtKRdaRS0UbQD9y7,J Balvin,Noche de Halloween Latino,Morado,2,200666,False,0.881,0.696,11,-3.838,0,0.0797,0.136,4.06e-05,0.0927,0.781,97.002,4,latin
65298,6chviF7naWfxVOF91dkdqb,Vidyasagar;Krishnachandar;Sujatha,Pasumpon (Original Motion Picture Soundtrack),Thamarai Poovukum,55,327333,False,0.579,0.708,2,-9.737,0,0.0424,0.535,0.000155,0.0994,0.744,81.023,4,k-pop
103800,6yop2w0gF1HdGGvgUXgMVg,OZZIE;Teflon Sega,Colours,FRZZN,53,239281,False,0.591,0.53,11,-8.217,0,0.0344,0.0349,0.000297,0.543,0.372,140.05,4,soul
90254,1udKn1oNKYQSQ9OmiIWCMu,The Lovin' Spoonful,Do you Believe In Magic,Do You Believe in Magic?,70,125826,False,0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602,4,rock-n-roll
11467,17xHXgJeDJyynbXy3qoAeW,John Powell,P.S. I Love You,P.S. I Love You,53,83293,False,0.462,0.0294,0,-28.156,1,0.0481,0.996,0.939,0.0851,0.388,79.459,4,british
36264,2Mt60ByiUEt1CEoMG6vdTo,Triomphe,Vapor,Vapor,58,126545,False,0.664,0.779,5,-11.964,0,0.0426,0.136,0.898,0.112,0.211,109.999,4,french
25585,4cQWpS0ShcMleOsqSg197r,Blue Magic,Soulful Spell - The Best Of Blue Magic,Teach Me (It's Something About Love),34,255133,False,0.352,0.583,7,-7.988,1,0.0438,0.655,0.000299,0.599,0.403,159.49,4,disco
25583,1QOQdch9yOPgaUgBVyyViV,Fair Play,Moja Królowa (Radio edit),Moja Królowa - Radio edit,32,202254,False,0.695,0.973,11,-6.599,0,0.0336,0.00961,0.00266,0.0538,0.977,140.024,4,disco
1384,5pKUJLGKZjoPiYJnQYRH9a,The Budos Band,Burnt Offering,Turn and Burn,22,344840,False,0.445,0.833,9,-7.373,0,0.0279,0.00256,0.736,0.167,0.652,116.012,4,afrobeat
39225,1NxpH2Gr20TRcFWXAa9HNO,Robert Schumann;Pavel Nersessian,"Schumann, Poulenc & Others: Piano Works (Live in Japan, 2022)","Carnaval, Op. 9: No. 3, Arlequin (Live in Japan, 2022)",0,44680,False,0.689,0.0766,10,-22.061,1,0.073,0.996,0.812,0.128,0.675,108.932,5,german
42021,5UkeMZvaNppcttFM9O6qzN,Weekend Nachos,Worthless,Obituary,27,71760,False,0.29,0.946,4,-2.736,1,0.0899,1.08e-05,0.601,0.126,0.0486,62.659,4,grindcore
87249,2laJdkltxYwwCJanm7yBnn,Raimundos;Érica Martins,Só as Melhores do Pop Rock Brasileiro,A mais pedida,0,233733,False,0.538,0.825,0,-4.021,1,0.0478,0.0105,1.43e-05,0.0693,0.467,125.056,4,r-n-b
30161,2P4OICZRVAQcYAV2JReRfj,Avicii,Stories,Waiting For Love,81,230613,False,0.579,0.736,6,-3.863,0,0.0527,0.31,0.0,0.198,0.613,127.999,4,edm
18844,2PUWO11iqrgisht7dgTbvE,George Lopez,Team Leader,The Bike,20,321093,True,0.505,0.61,9,-15.638,0,0.91,0.876,0.0,0.752,0.345,123.735,3,comedy
67399,1Ghb6uHFIIlDBjzKQJlv0I,Alejandro Fernández,Éxitos del Pop en Español de los Años 2000,Me Dediqué a Perderte,0,232466,False,0.578,0.471,8,-8.182,1,0.0615,0.498,1.49e-06,0.1,0.54,147.611,4,latin
55502,18Eu9puOprFj4acahSyF1d,Sickflip;Mismatched;Raitila Rajasthan,Mismatched: Season 2 (Music from the Netflix Series),Mehmaan,51,170400,False,0.367,0.518,11,-9.946,1,0.464,0.814,0.071,0.16,0.53,98.24,4,indian
60102,6yKPMNQJZ0yIp7InU2x6OT,Samantha J;R. City,Baby Love,Baby Love,32,216263,False,0.723,0.706,3,-4.417,1,0.0644,0.104,0.0,0.422,0.585,90.919,4,j-dance
73986,0I1Cwh35TzragHmaxCOk7D,Kangding Ray,Corpora Part III,Polyglot Blues,1,380099,False,0.535,0.776,8,-13.877,0,0.0699,0.000192,0.803,0.149,0.0235,131.004,3,minimal-techno
68214,3U3WDXdwPyih1ZHawJyUWK,Jhayco;Bad Bunny,Halloween con perreito,CÓMO SE SIENTE - Remix,0,227520,True,0.807,0.606,3,-8.871,0,0.0872,0.0946,0.0,0.119,0.304,92.988,4,latino
14166,02WpCYOVHVRDPhbkiswGmQ,Amy Samu,"Top Kids Songs: Best Nursery Rhymes (Old Mac Donald, Humpty Dumpty, Finger Family and Many More)",Alphabet - Classic Abc Song,48,43676,False,0.964,0.169,0,-20.19,1,0.17,0.776,0.0604,0.0783,0.798,110.109,4,children
362,6xXvAzowcCQmoKdDr1oIFJ,Amber Leigh Irish,Simply Acoustic,2002 - Acoustic,57,145056,False,0.589,0.296,0,-9.335,1,0.083,0.842,0.0,0.0736,0.611,165.799,3,acoustic
72478,1z33QOn2Hcq9SfI5pES25L,Escape the Fate,This War Is Ours (Deluxe Edition),This War Is Ours (The Guillotine II),58,266733,False,0.399,0.955,4,-5.593,0,0.163,0.00838,0.0,0.0759,0.152,95.498,4,metalcore
110525,0w98WsIkBacOrDHGaPcdYt,Interactive Noise,Fking Bass Line,Fking Bass Line,33,356000,False,0.701,0.935,11,-7.839,0,0.196,0.0105,0.803,0.735,0.0382,140.002,4,trance
78947,27moQ0r3psO5M21kKs7NT1,Jürgen Drews,Drews feat. Drews (Die ultimativen Hits),Das ist der Moment - Single Mix,24,183000,False,0.674,0.967,9,-2.395,0,0.0381,0.0509,0.0,0.159,0.781,130.057,4,party
18945,4wWtnRpttsyMaJBVV9ZsR7,Kathleen Madigan,Bothering Jesus,Last Call from Jail,21,194510,False,0.469,0.912,6,-7.161,0,0.733,0.779,0.0,0.86,0.309,135.928,3,comedy
97453,4IOL6A3QMCu9MdfDYIHUJh,Fiduma & Jeca,Alcooústico 2,Butecologia,48,170657,False,0.73,0.873,4,-3.631,1,0.0507,0.563,0.0,0.178,0.878,135.031,4,sertanejo
49118,323d3O5e15GaC8so3eN1wo,Brennan Heart,It's All About The Music EP PT.1,Belong,55,220800,False,0.543,0.787,7,-3.211,0,0.0371,0.0807,0.0,0.122,0.372,149.857,4,hardstyle
50017,3kCGxdCWMiydMDRG84ltsJ,Rata Blanca,Triste Hora,Mujer Amante,0,363120,False,0.497,0.649,11,-10.205,0,0.0334,0.0145,3.78e-06,0.0477,0.567,115.357,4,heavy-metal
31632,2nSTgkvfDLV7Brzi1cYEf5,FINNEAS,The Greatest Rock Tunes 2022,What They'll Say About Us,0,181210,False,0.538,0.318,7,-13.036,0,0.0417,0.88,7.28e-05,0.116,0.0897,144.988,4,electro
85987,6TSbdwlDyKMiExEpHvMfWp,Carajo,Hoy Como Ayer (En Vivo),Constrictor,36,280426,False,0.628,0.801,6,-4.424,1,0.0312,0.0319,1.13e-06,0.0895,0.274,99.989,4,punk-rock
80941,5fWtbgbiTz8MuAnTzzpJGN,Silambarasan TR;Blaze,Vallavan (Original Motion Picture Soundtrack),Loosu Pennae,55,411794,False,0.663,0.405,5,-11.244,0,0.098,0.485,0.000265,0.094,0.526,191.985,4,pop-film
101760,0MhfZWXe9tMrtB80z974QY,Pearl Melendez,Lejano,Lejano,55,200150,False,0.0924,0.00378,5,-31.458,1,0.0428,0.989,0.892,0.101,0.047,86.294,4,sleep
55811,39laDigENmKNlT94cnLWwr,Pritam;Rupam Islam,Jannat (Original Motion Picture Soundtrack),Jannat Jahan,43,223093,False,0.61,0.888,4,-4.8,0,0.0435,0.00716,1.17e-05,0.0884,0.548,128.024,4,indian
3558,0eNfURq0r0oNSwFyw1VuVT,The 1975,Being Funny In A Foreign Language,Looking For Somebody (To Love),72,178617,True,0.522,0.957,2,-4.924,1,0.0687,0.0515,0.0014,0.144,0.917,170.91,4,alternative
10181,57T6aZQ0PnSL0kpHy92xuW,Dub Pistols;Seanie Tee;Chezidek,Return of the Pistoleros,Sticky Situation,18,251361,False,0.588,0.805,7,-4.603,1,0.0697,0.00162,0.000398,0.406,0.615,174.058,4,breakbeat
39661,2RfBOqxUl9g0fHJ0NuYFAO,Harold Faltermeyer;Lady Gaga;Hans Zimmer;Lorne Balfe,Top Gun: Maverick (Music From The Motion Picture),Tally Two / What’s The Plan / F-14,56,274493,False,0.182,0.342,2,-15.843,0,0.0348,0.424,0.673,0.115,0.0388,145.068,4,german
23679,14VmsVz9jMLnTvc6Gtd99U,LYOD;Tom Auton,On My Way,On My Way,51,189230,False,0.649,0.762,0,-6.535,1,0.0343,0.51,2.56e-05,0.156,0.216,112.982,4,deep-house
5449,4DRkwIkys7VdAKBp31iUT2,MegaR;Nyako,Garou Miedo Cósmico Rap. El Puño de Dios,Garou Miedo Cósmico Rap. El Puño de Dios,38,176166,False,0.535,0.877,7,-9.381,1,0.497,0.593,0.0,0.202,0.543,90.248,4,anime
57577,1LmTH1icxHp3kpeeC1qmDM,Still Woozy,The Greatest Rock Tunes 2022,Kenny,1,194133,False,0.751,0.486,1,-10.746,1,0.0374,0.331,0.032,0.108,0.408,120.01,4,indie
23871,4IKa5EKTmhKvV1wuTJf9Eq,Karen Harding;Digital Farm Animals,Undo My Heart,Undo My Heart,50,180419,False,0.605,0.873,11,-6.267,1,0.035,0.0352,0.0041,0.0644,0.343,122.998,4,deep-house
49462,3kTd1IWGIQqXwfwkjA2lXl,Sub Sonik;Deetox,Strike One,My Way,22,191380,True,0.461,0.993,11,-3.756,0,0.255,0.016,7.53e-06,0.353,0.21,153.027,4,hardstyle
104986,15f3aIvW7EOzB7YZThAfr6,La Oreja de Van Gogh,Campana Sobre Campana,Campana Sobre Campana,26,130694,False,0.656,0.383,9,-14.554,1,0.0274,0.0197,0.0331,0.0715,0.407,94.012,4,spanish
94169,5ezVqhuo9PDNqsGKsKOPyG,Teqkoi,It'll Be Alright,It'll Be Alright,56,133565,False,0.84,0.186,1,-14.994,1,0.0851,0.564,0.0,0.145,0.313,115.025,4,sad
57521,11BUFxLtMAVUtJaTnNK8Ey,JVKE;ILLENIUM;NURKO,golden hour (ILLENIUM & NURKO Remix),golden hour - ILLENIUM & NURKO Remix,57,201904,False,0.453,0.771,1,-4.382,0,0.0341,0.046,0.0,0.159,0.0754,126.003,4,indie
71632,5sFDReWLrZHLFZFjHsjUTS,Alice In Chains,Dirt (2022 Remaster),Would? (2022 Remaster),73,206773,False,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,4,metal
22277,73HnOgHf0Xw5KNvEeGBNzW,For Today,Portraits,Isaiah (The Willing),26,243146,False,0.225,0.922,7,-4.846,1,0.189,0.000319,0.0139,0.583,0.26,201.018,3,death-metal
41114,5oAvb7LpUBwQfBtQ6hmS4Q,Nightwish,Endless Forms Most Beautiful (Deluxe Version),Élan,58,287000,False,0.576,0.588,5,-9.553,1,0.0308,0.0124,0.000177,0.148,0.316,127.969,4,goth
63799,4uLGTkZFVa8c9NBquKRJRz,Zeki Müren,Sev Beni,Mihrabım Diyerek,34,290560,False,0.297,0.444,9,-15.784,0,0.0561,0.174,0.000127,0.0977,0.501,154.394,3,j-rock
80739,3gnWw0LToxswxfC6Eb8GBp,Yuvan Shankar Raja;Sooraj Santhosh,Anjaan (Original Motion Picture Soundtrack),Kadhal Aasai,57,303750,False,0.419,0.825,6,-5.013,1,0.0709,0.49,0.0,0.139,0.363,73.202,4,pop-film
11193,5BI1XqMJK91dsEq0Bfe0Ov,Peter Frampton,On air 70's Hits,Show Me The Way,0,243266,False,0.7,0.726,2,-7.717,1,0.0329,0.436,1.11e-06,0.0914,0.64,130.11,4,british
17716,4wOhPUptCNCCJK0OtjFzpy,DEADLIFE,Bionic Chrysalis,Deviant,43,322075,False,0.672,0.743,1,-5.0,1,0.0558,0.0377,0.000689,0.299,0.246,105.995,4,club
111512,7fGAChEASw3sxA1TFRhPfx,Zero 7;Sophie Barker,When It Falls,Passing By,46,291040,False,0.586,0.426,0,-10.904,0,0.0242,0.357,0.474,0.0762,0.21,80.941,4,trip-hop
28864,5kc94sZMpuzSZdbfiCr0gh,Tristam,I Remember,I Remember,53,236741,False,0.559,0.641,6,-9.4,0,0.0306,0.00595,0.501,0.0519,0.0376,109.964,4,dub
38367,0qfGWpvJGlp17wdTm19ioK,Arctic Monkeys,Suck It and See,Library Pictures,54,142173,False,0.304,0.939,1,-5.836,1,0.0549,0.000142,0.00601,0.136,0.402,96.954,4,garage
5145,733hyyG8U8kxxebds98nc6,frad,First Date,First Date,62,173143,False,0.732,0.303,4,-13.575,1,0.057,0.75,0.828,0.141,0.601,82.555,4,anime
82634,37Yzsng4h42PTNcIGYQ1hA,The Lemonheads,It's A Shame About Ray (30th Anniversary Edition),Frank Mills - Remastered,22,103973,False,0.499,0.371,8,-14.488,0,0.0614,0.431,0.0,0.076,0.627,115.384,4,power-pop
78381,2IsqKsbBPpPzzP9FhGoBPo,Andreas Gabalier,Da komm' ich her,Mit dir,31,200200,False,0.442,0.882,2,-3.534,1,0.0392,0.183,0.0,0.623,0.582,156.043,4,party
52923,36dLFgmkJtbAaiabR6a7Bo,George Jones,Mr. Country and Western,No Blues Is Good News,9,147799,False,0.732,0.651,9,-10.95,1,0.0316,0.618,0.0,0.0747,0.961,96.373,4,honky-tonk
99345,5J5VBW8G9ViJfzX5FEYvni,Tom Petty and the Heartbreakers,Christmas Eve At Home,Christmas All Over Again,0,253626,False,0.44,0.838,9,-6.196,1,0.0423,0.0956,0.0,0.473,0.619,138.908,4,singer-songwriter
110861,32aKImKoiukzUxnWENXJXb,W&W;Sandro Silva;Justin Prime,This Is Our Legacy,This Is Our Legacy,52,159404,False,0.669,0.979,7,-2.07,0,0.0997,0.032,0.208,0.293,0.534,128.019,4,trance
80111,5MnAi6ZF7cE8pAz7wYr9Ta,Vishal-Shekhar;Julius Packiam;Atif Aslam;Irshad Kamil,Tiger Zinda Hai,Dil Diyan Gallan,68,260536,False,0.716,0.64,2,-8.726,1,0.025,0.565,0.00139,0.127,0.485,105.012,4,pop-film
77824,0XQ0VfbS6MeAaf73q3LHHy,Unha Pintada,Eu Quero é Beber Ao Vivo 2019.05,Amor Forçado,44,181185,False,0.832,0.709,0,-4.002,1,0.0381,0.646,0.0,0.108,0.817,136.897,4,pagode
63199,2nAKXs0tQPOXSnK9mFmqy5,Hüsnü Arkan,Bir Yalnızlık Ezgisi (Remastered),Nereye Uçar Turnalar - Remastered,40,249856,False,0.572,0.377,7,-10.625,0,0.0413,0.79,3.6e-06,0.159,0.559,144.015,4,j-rock
34977,1ne9wOtDF2jM6Cm8WBkaER,John Denver,Rocky Mountain High,Rocky Mountain High,67,283640,False,0.455,0.437,4,-11.411,1,0.0278,0.314,0.0,0.501,0.724,81.396,4,folk
109005,1vdYudatKL5iRIM7i6vkvG,Argy,Tataki,Tataki,59,328780,False,0.826,0.401,2,-11.684,1,0.117,0.0154,0.795,0.0999,0.0561,122.017,4,techno
25400,4t0UsYzmmmZRMTWn77jiGF,Robin S,Show Me Love,Show Me Love,69,252106,False,0.811,0.833,5,-4.259,1,0.153,0.014,2.06e-05,0.0769,0.567,120.258,4,disco
32645,40et7qQsExZbORdbXtR034,Miranda!,Sin Restricciones,El Agente,36,167293,False,0.71,0.877,2,-4.921,1,0.0628,0.111,1.78e-06,0.0607,0.85,91.994,4,electronic
24245,3dAGc0wKiD5ejsXVfEzsyT,Galaxy 2 Galaxy,Galaxy 2 Galaxy: A High Tech Jazz Compilation,Windchime,11,369720,False,0.541,0.751,0,-11.164,1,0.0278,0.0152,0.00926,0.156,0.416,130.567,4,detroit-techno
48265,6JGgZq7gwoW8TxMZOQCqSk,Burgerkill;Ahmad Dhani,Elang,Elang,37,252631,False,0.499,0.819,4,-12.636,0,0.0504,0.000803,0.62,0.277,0.475,95.007,4,hardcore
110927,1Pe3Tnahd3nNcKrTvNvNvW,Armin van Buuren,Balance,Million Voices,41,187150,False,0.466,0.869,3,-4.275,1,0.0529,0.0142,0.00241,0.115,0.185,126.113,4,trance
26081,0aZqRkok4WsO9tZVFBI2zc,SHIKI THEATRE COMPANY,Wicked (Original Broadway Cast Recording / Deluxe Edition),Popular,32,225266,False,0.524,0.359,0,-7.664,1,0.108,0.818,0.0,0.3,0.554,177.263,4,disney
87380,7gUgDucWxwsrnNGN43MZcu,Kid Abelha,Acústico (Live),No Seu Lugar - Ao Vivo,45,219853,False,0.619,0.754,5,-6.509,1,0.0303,0.106,6.8e-05,0.703,0.629,132.975,4,r-n-b
99126,3Dz8VohgvbYkf6OS99H0vT,Bryan Adams,Weihnachtssongs,Christmas Time,0,243057,False,0.503,0.582,0,-4.324,1,0.0253,0.472,0.0,0.103,0.326,77.321,4,singer-songwriter
56813,6MDtS6MzlIzGUjbC1rapa4,Slot Machine,Free Fall (Theme From KinnPorsche The Series),Free Fall (Theme From KinnPorsche The Series),59,226046,False,0.594,0.828,11,-4.202,0,0.0321,0.000924,0.0,0.0756,0.372,128.994,4,indie-pop
109683,5qZxa73r5VUTjMW0Eoz96f,Promo;G-Shock,Never Compromise,Demons - Promo Remix,28,396133,False,0.54,0.983,7,-2.578,1,0.578,0.0487,0.922,0.203,0.0695,159.837,4,techno
56371,7eTy1IzCaICfm6JYy1BV4u,Prateek Kuhad,cold/mess,with you/for you,46,231897,False,0.731,0.317,6,-13.775,1,0.0358,0.812,0.149,0.106,0.33,114.078,4,indie-pop
73677,0ihhkrxB78bqX3bvtGcH74,Skober,"A-Sides Vol. 2, Pt. 1",Membrane,19,433862,False,0.711,0.863,6,-6.657,1,0.0954,0.00467,0.894,0.124,0.111,125.021,4,minimal-techno
84780,4YgUcH7aKBmP5EeysIjvKD,Wishbone Ash,Argus (Expanded Edition),Leaf And Stream,50,246266,False,0.418,0.405,2,-10.714,0,0.0307,0.478,0.00482,0.117,0.433,82.7,4,psych-rock
57917,0yQuZWmqZ4ZcJRmRpryxMw,Siddiq Ansari;Marcus. M,O Maya Chesi,O Maya Chesi,40,216832,False,0.869,0.69,7,-6.949,1,0.0515,0.547,1.86e-06,0.0672,0.773,130.024,4,indie
91836,5dmC4IGuPsAzJNigeCFLO9,Tom Petty,Pop & Halloween,Zombie Zoo,0,178506,False,0.685,0.886,9,-10.653,1,0.0323,0.0328,0.0,0.0362,0.819,116.222,4,rock
103995,4cugerDcXpyGDu5RfES1Ag,Lou Rawls,Halloween Hits,Season Of The Witch,1,351160,False,0.627,0.706,2,-9.146,0,0.0353,0.146,5.46e-05,0.113,0.896,88.833,4,soul
44493,0o995gJCGebaza0LWybToU,Audioslave,Out of Exile,Doesn't Remind Me,64,255000,False,0.457,0.768,9,-3.592,1,0.0378,0.169,0.0,0.103,0.232,99.739,4,grunge
43540,36eoluFtYK7jquonG8sp9C,Kemuel,Eu Também (100 Bilhões X) [So Will I (100 Billion X)],Eu Também (100 Bilhões X) [So Will I (100 Billion X)] - Acústico,28,414463,False,0.559,0.366,2,-6.565,1,0.0266,0.819,0.0,0.12,0.173,127.97,4,groove
35760,6U3aPT60I5xFkVybFIMYrE,Eric Land,Cidade Inteira,Cidade Inteira,38,233546,False,0.419,0.814,7,-7.923,1,0.0386,0.381,0.00742,0.134,0.798,111.982,5,forro
66134,1OBhaUgb9letYZVchKj2TE,Dora The Explorer,Dora The Explorer,Feliz Cumpleanos,19,63053,False,0.915,0.525,9,-6.448,1,0.373,0.563,0.0,0.193,0.937,107.861,4,kids
106324,0GnbGx3vtrroyY7ZQKNLtc,Vargas & Lagola,REGNIG DAG,Daughter Of A Rifleman,0,288596,False,0.332,0.371,0,-7.445,1,0.0273,0.129,0.0118,0.108,0.232,104.225,4,swedish
83194,6yK27J3dxUrVzLA5yU3QFB,Mike Williams;Felix Jaehn;Jordan Shaw,"Anímate, es viernes",Without You,0,150967,False,0.722,0.871,2,-4.574,1,0.0774,0.0201,2.11e-06,0.207,0.509,124.039,4,progressive-house
56439,7cOr5Lj5tv0A1IPO5hVriz,Maisie Peters,Hits Hits Hits,Cate's Brother,0,180589,False,0.735,0.648,1,-4.523,0,0.0334,0.0114,0.000213,0.309,0.395,97.985,4,indie-pop
115,5pq4v03P5PxMcnCagg4S3Z,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60,225165,False,0.633,0.299,11,-7.798,1,0.0353,0.833,0.0,0.109,0.341,147.549,4,acoustic
99640,476V2d6iA2tWXgQboKmTtA,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered 2020),Father And Son,73,221120,False,0.495,0.326,7,-12.29,1,0.0365,0.541,8.85e-05,0.0996,0.371,136.243,4,singer-songwriter
15193,6IEYxC5J51Igo0XUTx16mA,Foster;Sody;Sarcastic Sounds,fools (can't help falling in love) (slowed down & reverb),fools (can't help falling in love) (slowed down & reverb),54,197857,True,0.591,0.805,0,-5.235,1,0.271,0.64,0.0,0.143,0.283,136.629,4,chill
105275,0RnUzVJENbMYhU5Eb7xbRe,dusty dexter,Pink Waters,Pink Waters,39,119776,False,0.61,0.436,1,-14.052,0,0.103,0.755,0.868,0.0993,0.537,80.026,4,study
23038,3monb6DDZJSxJ9fR6au4Ba,Sonny Fodera;Ella Eyre,Cardio Tracks,Wired,0,202652,False,0.7,0.764,9,-4.836,0,0.0314,0.0247,0.0,0.162,0.424,125.02,4,deep-house
113958,6NLvZYW0COmwDboKdLhYIi,Michael W. Smith,Worship Again,There Is None Like You,40,129933,False,0.34,0.32,7,-15.807,1,0.0495,0.906,0.0,0.976,0.575,66.443,4,world-music
29562,159xvbYorYT12WDpHe8bD3,Kayzo,This Time,This Time,49,170400,False,0.583,0.946,2,-4.034,1,0.114,0.00328,0.39,0.148,0.262,149.921,4,dubstep
89186,3iJDmx2BxUCXgjatgYfhoe,Anuel AA;KAROL G,El perreo es el futuro,Secreto,0,258799,False,0.807,0.803,11,-4.156,1,0.126,0.6,0.0085,0.136,0.706,91.982,4,reggaeton
93400,41wRhP83bDYvNx0l1n2JWk,Александр Цфасман;Леонид Кострица,Александр Цфасман и звёзды советской эстрады,Перелётные птицы,0,186827,False,0.628,0.361,5,-13.485,0,0.0563,0.982,0.136,0.109,0.898,115.423,4,romance
13865,4w9kTOwILhtmSZqYRIeq68,Cajmere;Sounfx,Too Underground For The Main Stage,Move Yo Body - Original Mix,6,352989,False,0.811,0.794,9,-10.299,1,0.0522,1e-05,0.919,0.0604,0.376,120.016,4,chicago-house
108192,5HXFIL3EQ9R1M0Me1UsEJ3,Alfredo De Angelis,Yo Soy El Tango,Mi Dolor,23,171066,False,0.655,0.4,2,-9.135,0,0.0313,0.8,0.0577,0.303,0.852,121.06,4,tango
93501,2NxBkt5ycvFc5tEQk3uRgA,Kvatro,The Best Of,Сердце в 1000 свечей,4,232479,False,0.532,0.542,10,-5.663,0,0.0381,0.631,0.0,0.216,0.371,140.02,4,romance
23041,2APvCb9QZJ8xZq1IDrXRKt,D.O.D,Armada Music - ADE 2022,Two Caps,1,183425,False,0.674,0.958,10,-4.764,0,0.0552,0.000951,0.924,0.0515,0.885,126.979,4,deep-house
33089,5hZctl6Xi8xaJG8LgIZWDy,Lil Pump,Rap Party,Gucci Gang,0,124055,True,0.936,0.523,5,-6.71,1,0.0597,0.239,0.0,0.117,0.699,119.889,4,emo
